date,time,location,operator,aboard,fatalities,f rate
14-Dec-32,?,"Amarillo, Texas",Trans Continental and Western Air,2,2,1
14-Dec-32,?,"Rocky Ridge, Colorado",Boeing Air Transport,1,1,1
26-Dec-32,?,"Wau, Australia",Guinea Airways,1,1,1
10-Jan-33,?,Algiers,Aeropostale,3,1,0.333333333
14-Jan-33,?,"Newark, New Jersey",Eastern Air Transport,2,2,1
20-Jan-33,?,"Marietta, Georgia",American Airways,1,1,1
20-Jan-33,2:07,"Bourne, Texas",American Airways,1,1,1
24-Jan-33,?,"Eugene, Oregon",Pacific Air Transport,3,2,0.666666667
11-Mar-33,?,"Near Mendoza, Argentina",Pan American Grace Airways,2,2,1
25-Mar-33,2007,"Hayward, California",Varney Airlines,3,3,1
28-Mar-33,14:30,"Near Dixmude, Belgium",Imperial Airways,15,15,1
3-Apr-33,?,"Hemkenrode, Germany",Deutsche Lufthansa,2,1,0.5
4-Apr-33,1230,"Off Barnegat, New Jersey",Military - U.S. Navy,76,73,0.960526316
23-Apr-33,740,"Near Castrovillari, Calabria, Italy",Air Orient,8,5,0.625
29-Apr-33,?,"Traunstein, Germany",Eurasia,4,4,1
9-May-33,1500,"Near Viladrau, Spain",Aeropostale - La Tecoere Company,6,6,1
4-Jun-33,315,"Bowling Green, Virginia",Eastern Air Transport,1,1,1
11-Jun-33,1700,"Glenview, Illinois",Palwaukee,9,9,1
18-Jul-33,1540,Aegean Sea,Societa Anonima Aero Expresso Italiana,6,6,1
29-Aug-33,100,"Quay, New Mexico",Trans Continental and Western Air,5,5,1
12-Sep-33,?,"Near Ljubljana, Yugoslavia",Aeroput,8,8,1
10-Oct-33,2100,"Chesterton, Indiana",United Air Lines,10,10,1
31-Oct-33,1120,"Etobon, France",Air France,5,2,0.4
9-Nov-33,2235,"Portland, Oregon",United Air Lines,10,4,0.4
10-Nov-33,?,"Moriarty, New Mexico",Trans Continental and Western Air,1,0,0
20-Nov-33,?,"Near Tsinan, China",China National Aviation Corporation,8,8,1
21-Nov-33,15:00,"Near Kharkov, Ukraine, USSR",Kalinin,20,14,0.7
24-Nov-33,?,"Wedron, Illinois",National Air Transport,2,2,1
11-Dec-33,1600,"Hamburg, Germany",Deutsche Lufthansa,10,6,0.6
14-Dec-33,?,"Eshowe, South Africa",Union Airways,6,5,0.833333333
30-Dec-33,c 13:00,"Near Ruysselede, Belgium",Imperial Airways,10,10,1
15-Jan-34,1815,"Corbigny, France",Air France,14,14,1
20-Jan-34,?,"Carombe, France",Air France,2,2,1
23-Feb-34,1415,"Near Salt Lake City, Utah",Boeing Aircraft Company,8,8,1
26-Feb-34,?,"Rio de Oro, Morocco",Air France,6,1,0.166666667
6-Mar-34,?,"Petersburg, Illinois",American Airways,4,4,1
10-Mar-34,?,"Pereira, Colombia",Pan American Airways (Scadta),6,5,0.833333333
22-Mar-34,?,"Near Lima, Peru",Pan American Grace Airlines,15,3,0.2
10-Apr-34,?,"Ningpo Bay, China",China National Aviation Corporation,3,3,1
9-May-34,?,English Channel,Air France,6,6,1
31-May-34,500,"Croydon, England",Air France,2,2,1
9-Jun-34,1700,"Mongaup Mountain, New York",American Airways,7,7,1
11-Jun-34,1100,"Junin, Argentina",Panagra,10,6,0.6
22-Jun-34,?,"Chausseehausen, Germany",Deutsche Lufthansa,7,1,0.142857143
23-Jun-34,600,"Burbank, California",Aerevias Centrales Air Service,1,1,1
9-Jul-34,?,"San Bernardino, California",United Air Services,4,3,0.75
27-Jul-34,950,"Near Tuttlingen, Germany",Swissair,12,12,1
5-Aug-34,?,"Bahia, Brazil",Air France,2,2,1
10-Aug-34,?,"Ningbo, China",China National Aviation Corporation,?,?,#VALUE!
31-Aug-34,2245,"Amazonia, Missouri",Rapid Air Transport,5,5,1
2-Oct-34,1050,English Channel,Hillman's Airways,7,7,1
3-Oct-34,?,"Near Winton, Australia",Qantas,3,3,1
19-Oct-34,?,"Bass Strait, Australia",Holymans Airways,11,11,1
2-Nov-34,?,"Kiapit, Australia",Holdens Air Transport Service,4,2,0.5
15-Nov-34,2342,"Amazonia, Montana",Rapid Air Transport,2,2,1
15-Nov-34,?,"Near Longreach, Australia",Qantas,4,4,1
7-Dec-34,?,"Salchau, Germany",Deutsche Lufthansa,3,3,1
8-Dec-34,530,"Columbia, Missouri",Braniff Airlines,1,1,1
10-Dec-34,730,"Palma Soriano, Cuba",Cubana de Aviacion,8,4,0.5
20-Dec-34,333,"Rutbah Wells, Syria",KLM Royal Dutch Airlines,7,7,1
22-Dec-34,252,"Sunbright, Tennessee",American Airlines,1,1,1
31-Dec-34,?,?,Aeroflot,10,10,1
8-Jan-35,?,"Near Karachi, Pakistan",Indian Air Force,2,0,0
26-Jan-35,?,"Pittsburgh, Pennsylvania",Trans Continental and Western Air,1,1,1
31-Jan-35,1900,"Stettin, Germany",Deruluft,11,11,1
